date;SPXT;id
31/01/1988;257.47;7
29/02/1988;269.47;7
31/03/1988;261.15;7
30/04/1988;264.04;7
31/05/1988;266.32;7
30/06/1988;278.54;7
31/07/1988;277.49;7
31/08/1988;268.07;7
30/09/1988;279.49;7
31/10/1988;287.27;7
30/11/1988;283.18;7
31/12/1988;288.12;7
31/01/1989;309.21;7
28/02/1989;301.51;7
31/03/1989;308.54;7
30/04/1989;324.56;7
31/05/1989;337.69;7
30/06/1989;335.78;7
31/07/1989;366.1;7
31/08/1989;373.25;7
30/09/1989;371.74;7
31/10/1989;363.11;7
30/11/1989;370.51;7
31/12/1989;379.41;7
31/01/1990;353.94;7
28/02/1990;358.5;7
31/03/1990;368;7
30/04/1990;358.81;7
31/05/1990;393.8;7
30/06/1990;391.14;7
31/07/1990;389.89;7
31/08/1990;354.65;7
30/09/1990;337.39;7
31/10/1990;335.95;7
30/11/1990;357.67;7
31/12/1990;367.63;7
31/01/1991;383.64;7
28/02/1991;411.08;7
31/03/1991;421.03;7
30/04/1991;422.03;7
31/05/1991;440.24;7
30/06/1991;420.07;7
31/07/1991;439.65;7
31/08/1991;450.06;7
30/09/1991;442.53;7
31/10/1991;448.48;7
30/11/1991;430.41;7
31/12/1991;479.63;7
31/01/1992;470.7;7
29/02/1992;476.79;7
31/03/1992;467.52;7
30/04/1992;481.25;7
31/05/1992;483.6;7
30/06/1992;476.41;7
31/07/1992;495.87;7
31/08/1992;485.72;7
30/09/1992;491.43;7
31/10/1992;493.13;7
30/11/1992;509.92;7
31/12/1992;516.18;7
31/01/1993;520.49;7
28/02/1993;527.59;7
31/03/1993;538.72;7
30/04/1993;525.7;7
31/05/1993;539.76;7
30/06/1993;541.34;7
31/07/1993;539.16;7
31/08/1993;559.62;7
30/09/1993;555.33;7
31/10/1993;566.82;7
30/11/1993;561.41;7
31/12/1993;568.2;7
31/01/1994;587.52;7
28/02/1994;571.57;7
31/03/1994;546.65;7
30/04/1994;553.66;7
31/05/1994;562.75;7
30/06/1994;548.96;7
31/07/1994;566.98;7
31/08/1994;590.23;7
30/09/1994;575.79;7
31/10/1994;588.73;7
