date;SBWMEU1L;id
28/02/2017;147.1992;16
31/03/2017;147.1396;16
30/04/2017;147.0832;16
31/05/2017;147.0224;16
30/06/2017;146.9661;16
31/07/2017;146.9078;16
31/08/2017;146.8459;16
30/09/2017;146.7883;16
31/10/2017;146.7302;16
30/11/2017;146.6715;16
31/12/2017;146.6121;16
31/01/2018;146.5528;16
28/02/2018;146.4992;16
31/03/2018;146.4399;16
30/04/2018;146.3826;16
31/05/2018;146.3233;16
30/06/2018;146.266;16
31/07/2018;146.2068;16
31/08/2018;146.1489;16
30/09/2018;146.0917;16
31/10/2018;146.0338;16
30/11/2018;145.9742;16
31/12/2018;145.9176;16
31/01/2019;145.8623;16
28/02/2019;145.8079;16
31/03/2019;145.7526;16
30/04/2019;145.698;16
31/05/2019;145.6415;16
30/06/2019;145.5869;16
31/07/2019;145.528;16
31/08/2019;145.4691;16
30/09/2019;145.4085;16
31/10/2019;145.3446;16
30/11/2019;145.284;16
31/12/2019;145.2202;16
31/01/2020;145.1552;16
29/02/2020;145.0932;16
31/03/2020;145.032;16
30/04/2020;144.9631;16
31/05/2020;144.907;16
30/06/2020;144.8502;16
31/07/2020;144.7716;16
31/08/2020;144.6931;16
30/09/2020;144.6159;16
31/10/2020;144.5362;16
30/11/2020;144.4652;16
31/12/2020;144.3905;16
31/01/2021;144.3172;16
28/02/2021;144.2498;16
31/03/2021;144.1765;16
30/04/2021;144.102;16
31/05/2021;144.0239;16
30/06/2021;143.9482;16
31/07/2021;143.8751;16
31/08/2021;143.7983;16
