date;NEIXCTAT;id
31/12/1999;1000;12
31/01/2000;1019.714;12
29/02/2000;995.21;12
31/03/2000;965.083;12
30/04/2000;932.277;12
31/05/2000;921.582;12
30/06/2000;894.136;12
31/07/2000;872.893;12
31/08/2000;900.622;12
30/09/2000;839.593;12
31/10/2000;866.688;12
30/11/2000;976.044;12
31/12/2000;1116.66;12
31/01/2001;1127.783;12
28/02/2001;1140.109;12
31/03/2001;1235.097;12
30/04/2001;1131.764;12
31/05/2001;1143.409;12
30/06/2001;1116.528;12
31/07/2001;1084.11;12
31/08/2001;1115.043;12
30/09/2001;1160.06;12
31/10/2001;1243.705;12
30/11/2001;1074.596;12
31/12/2001;1116.015;12
31/01/2002;1108.057;12
28/02/2002;1064.593;12
31/03/2002;1067.965;12
30/04/2002;1041.379;12
31/05/2002;1093.825;12
30/06/2002;1237.166;12
31/07/2002;1327.989;12
31/08/2002;1379.293;12
30/09/2002;1459.846;12
31/10/2002;1360.844;12
30/11/2002;1287.211;12
31/12/2002;1407.518;12
31/01/2003;1515.053;12
28/02/2003;1627.282;12
31/03/2003;1478.914;12
30/04/2003;1490.215;12
31/05/2003;1599.818;12
30/06/2003;1514.043;12
31/07/2003;1490.784;12
31/08/2003;1533.454;12
30/09/2003;1466.377;12
31/10/2003;1514.153;12
30/11/2003;1512.012;12
31/12/2003;1575.148;12
31/01/2004;1597.045;12
29/02/2004;1706.919;12
31/03/2004;1673.478;12
30/04/2004;1545.157;12
31/05/2004;1507.208;12
30/06/2004;1437.933;12
31/07/2004;1410.888;12
31/08/2004;1407.778;12
30/09/2004;1438.119;12
31/10/2004;1511.673;12
30/11/2004;1607.465;12
31/12/2004;1617.434;12
31/01/2005;1518.912;12
28/02/2005;1531.925;12
31/03/2005;1538.355;12
30/04/2005;1479.534;12
31/05/2005;1523.051;12
30/06/2005;1578.132;12
31/07/2005;1582.609;12
31/08/2005;1608.863;12
30/09/2005;1608.82;12
31/10/2005;1601.601;12
30/11/2005;1669.497;12
31/12/2005;1629.52;12
31/01/2006;1655.774;12
28/02/2006;1624.748;12
31/03/2006;1683.232;12
30/04/2006;1752.89;12
31/05/2006;1715.581;12
30/06/2006;1684.468;12
31/07/2006;1637.531;12
31/08/2006;1651.991;12
30/09/2006;1647.902;12
31/10/2006;1675.98;12
30/11/2006;1716.621;12
31/12/2006;1763.861;12
31/01/2007;1794.033;12
28/02/2007;1722.172;12
31/03/2007;1682.183;12
30/04/2007;1768.995;12
31/05/2007;1872.234;12
30/06/2007;1915.483;12
31/07/2007;1822.501;12
31/08/2007;1695.892;12
30/09/2007;1799.848;12
31/10/2007;1908.479;12
30/11/2007;1890.095;12
31/12/2007;1915.132;12
31/01/2008;1965.15;12
29/02/2008;2106.033;12
31/03/2008;2077.07;12
30/04/2008;2041.429;12
31/05/2008;2094.21;12
30/06/2008;2207.183;12
31/07/2008;2095.78;12
31/08/2008;2035.004;12
30/09/2008;2054.867;12
31/10/2008;2205.155;12
30/11/2008;2267.311;12
31/12/2008;2315.06;12
31/01/2009;2307.892;12
28/02/2009;2320.333;12
31/03/2009;2251.465;12
30/04/2009;2196.083;12
31/05/2009;2206.9;12
30/06/2009;2137.971;12
31/07/2009;2141.98;12
31/08/2009;2175.609;12
30/09/2009;2227.857;12
31/10/2009;2162.405;12
30/11/2009;2274.243;12
31/12/2009;2203.962;12
31/01/2010;2119.494;12
28/02/2010;2161.331;12
31/03/2010;2267.198;12
30/04/2010;2313.11;12
31/05/2010;2208.939;12
30/06/2010;2196.926;12
31/07/2010;2161.322;12
31/08/2010;2279.036;12
30/09/2010;2339.185;12
31/10/2010;2454.868;12
30/11/2010;2359.646;12
31/12/2010;2493.391;12
31/01/2011;2464.731;12
28/02/2011;2510.562;12
31/03/2011;2408.201;12
30/04/2011;2522.374;12
31/05/2011;2396.038;12
30/06/2011;2315.96;12
31/07/2011;2426.16;12
31/08/2011;2397.636;12
30/09/2011;2371.653;12
31/10/2011;2261.104;12
30/11/2011;2258.205;12
31/12/2011;2295.589;12
31/01/2012;2319.976;12
29/02/2012;2355.634;12
31/03/2012;2302.678;12
30/04/2012;2319.329;12
31/05/2012;2387.801;12
30/06/2012;2274.535;12
31/07/2012;2392.285;12
31/08/2012;2344.402;12
30/09/2012;2295.831;12
31/10/2012;2184.299;12
