date;NDUEACWF;id
31/12/1998;92.184;14
31/01/1999;93.997;14
28/02/1999;91.589;14
31/03/1999;95.761;14
30/04/1999;99.865;14
31/05/1999;96.374;14
30/06/1999;101.179;14
31/07/1999;100.703;14
31/08/1999;100.581;14
30/09/1999;99.471;14
31/10/1999;104.433;14
30/11/1999;107.64;14
31/12/1999;116.558;14
31/01/2000;110.191;14
29/02/2000;110.535;14
31/03/2000;117.837;14
30/04/2000;112.537;14
31/05/2000;109.654;14
30/06/2000;113.335;14
31/07/2000;109.95;14
31/08/2000;113.367;14
30/09/2000;107.103;14
31/10/2000;104.946;14
30/11/2000;98.409;14
31/12/2000;100;14
31/01/2001;102.5144;14
28/02/2001;93.8689;14
31/03/2001;87.5162;14
30/04/2001;93.8525;14
31/05/2001;92.7504;14
30/06/2001;89.8821;14
31/07/2001;88.4466;14
31/08/2001;84.3524;14
30/09/2001;76.6253;14
31/10/2001;78.2419;14
30/11/2001;83.0309;14
31/12/2001;83.791;14
31/01/2002;81.4777;14
28/02/2002;80.8553;14
31/03/2002;84.4773;14
30/04/2002;81.7697;14
31/05/2002;81.8335;14
30/06/2002;76.8091;14
31/07/2002;70.3508;14
31/08/2002;70.5072;14
30/09/2002;62.7502;14
31/10/2002;67.353;14
30/11/2002;71.0129;14
31/12/2002;67.6052;14
31/01/2003;65.615;14
28/02/2003;64.4383;14
31/03/2003;64.1601;14
30/04/2003;69.8466;14
31/05/2003;73.8632;14
30/06/2003;75.2455;14
31/07/2003;76.892;14
31/08/2003;78.6899;14
30/09/2003;79.1678;14
31/10/2003;83.9476;14
30/11/2003;85.2053;14
31/12/2003;90.5816;14
31/01/2004;92.1121;14
29/02/2004;93.7793;14
31/03/2004;93.2434;14
30/04/2004;91.0534;14
31/05/2004;91.7604;14
30/06/2004;93.5758;14
31/07/2004;90.5811;14
31/08/2004;91.1331;14
30/09/2004;93.0252;14
31/10/2004;95.299;14
30/11/2004;100.4934;14
31/12/2004;104.3808;14
31/01/2005;102.1673;14
28/02/2005;105.7073;14
31/03/2005;103.3779;14
30/04/2005;101.0973;14
31/05/2005;102.9853;14
30/06/2005;104.0258;14
31/07/2005;107.8731;14
31/08/2005;108.6922;14
30/09/2005;111.9625;14
31/10/2005;108.9467;14
30/11/2005;112.9138;14
31/12/2005;115.6908;14
31/01/2006;121.3858;14
28/02/2006;121.2075;14
31/03/2006;123.7573;14
30/04/2006;127.8764;14
31/05/2006;122.8353;14
30/06/2006;122.7823;14
31/07/2006;123.6203;14
31/08/2006;126.8246;14
30/09/2006;128.3025;14
31/10/2006;133.1152;14
30/11/2006;136.8785;14
31/12/2006;139.9328;14
31/01/2007;141.325;14
28/02/2007;140.5809;14
31/03/2007;143.4004;14
30/04/2007;149.7659;14
31/05/2007;154.2187;14
30/06/2007;153.7655;14
31/07/2007;151.4173;14
31/08/2007;150.9984;14
30/09/2007;159.1041;14
31/10/2007;165.3111;14
30/11/2007;158.0021;14
31/12/2007;156.253;14
31/01/2008;143.455;14
29/02/2008;143.8605;14
31/03/2008;141.75;14
30/04/2008;149.6576;14
31/05/2008;151.9968;14
30/06/2008;139.5162;14
31/07/2008;135.8929;14
31/08/2008;132.9636;14
30/09/2008;116.3464;14
31/10/2008;93.2919;14
30/11/2008;87.1631;14
31/12/2008;90.3221;14
31/01/2009;82.6055;14
28/02/2009;74.5167;14
31/03/2009;80.6549;14
30/04/2009;90.1755;14
31/05/2009;99.1607;14
30/06/2009;98.6054;14
31/07/2009;107.2853;14
31/08/2009;111.1221;14
30/09/2009;116.2197;14
31/10/2009;114.4242;14
30/11/2009;119.1299;14
31/12/2009;121.5966;14
31/01/2010;116.3425;14
28/02/2010;117.8241;14
31/03/2010;125.4035;14
30/04/2010;125.6153;14
31/05/2010;113.7056;14
30/06/2010;110.203;14
31/07/2010;119.1696;14
31/08/2010;115.0037;14
30/09/2010;126.0058;14
31/10/2010;130.5597;14
30/11/2010;127.6549;14
31/12/2010;137.0025;14
31/01/2011;139.1525;14
28/02/2011;143.2054;14
31/03/2011;143.0617;14
30/04/2011;148.9146;14
31/05/2011;145.7144;14
30/06/2011;143.4182;14
31/07/2011;141.0834;14
31/08/2011;130.7772;14
30/09/2011;118.43;14
31/10/2011;131.1195;14
30/11/2011;127.1937;14
31/12/2011;126.9371;14
31/01/2012;134.3176;14
29/02/2012;141.0757;14
31/03/2012;142.0126;14
30/04/2012;140.389;14
31/05/2012;127.8017;14
30/06/2012;134.114;14
31/07/2012;135.9497;14
31/08/2012;138.9062;14
30/09/2012;143.2814;14
31/10/2012;142.3257;14
30/11/2012;144.146;14
31/12/2012;147.4111;14
31/01/2013;154.2019;14
28/02/2013;154.1776;14
31/03/2013;156.9965;14
30/04/2013;161.4816;14
31/05/2013;161.0393;14
30/06/2013;156.3321;14
31/07/2013;163.8162;14
31/08/2013;160.4028;14
30/09/2013;168.6883;14
31/10/2013;175.4677;14
30/11/2013;177.953;14
31/12/2013;181.0234;14
31/01/2014;173.7821;14
28/02/2014;182.1774;14
31/03/2014;182.9872;14
30/04/2014;184.7287;14
31/05/2014;188.6578;14
30/06/2014;192.2101;14
31/07/2014;189.8789;14
31/08/2014;194.0735;14
30/09/2014;187.7796;14
31/10/2014;189.1021;14
30/11/2014;192.2655;14
31/12/2014;188.5547;14
31/01/2015;185.6074;14
28/02/2015;195.9405;14
31/03/2015;192.9038;14
30/04/2015;198.5014;14
31/05/2015;198.2424;14
30/06/2015;193.5751;14
31/07/2015;195.2563;14
31/08/2015;181.8714;14
30/09/2015;175.2824;14
31/10/2015;189.0389;14
30/11/2015;187.4781;14
31/12/2015;184.0973;14
31/01/2016;172.9943;14
29/02/2016;171.8035;14
31/03/2016;184.5358;14
30/04/2016;187.2598;14
31/05/2016;187.4964;14
30/06/2016;186.3606;14
31/07/2016;194.3921;14
31/08/2016;195.0458;14
30/09/2016;196.2411;14
31/10/2016;192.9104;14
30/11/2016;194.3764;14
31/12/2016;198.5753;14
31/01/2017;204.005;14
28/02/2017;209.7276;14
31/03/2017;212.2933;14
30/04/2017;215.6018;14
31/05/2017;220.3629;14
30/06/2017;221.365;14
31/07/2017;227.5514;14
31/08/2017;228.4232;14
30/09/2017;232.8363;14
31/10/2017;237.6712;14
30/11/2017;242.2721;14
31/12/2017;246.178;14
31/01/2018;260.0665;14
28/02/2018;249.1442;14
31/03/2018;243.8108;14
30/04/2018;246.1391;14
31/05/2018;246.4464;14
30/06/2018;245.1118;14
31/07/2018;252.5035;14
31/08/2018;254.4873;14
30/09/2018;255.5949;14
31/10/2018;236.4409;14
30/11/2018;239.8989;14
31/12/2018;223.0018;14
31/01/2019;240.6099;14
28/02/2019;247.0455;14
31/03/2019;250.1524;14
30/04/2019;258.5989;14
31/05/2019;243.2591;14
30/06/2019;259.1876;14
31/07/2019;259.9471;14
31/08/2019;253.7805;14
30/09/2019;259.1205;14
31/10/2019;266.2123;14
30/11/2019;272.7109;14
31/12/2019;282.3145;14
31/01/2020;279.196;14
29/02/2020;256.6454;14
31/03/2020;221.9974;14
30/04/2020;245.7789;14
31/05/2020;256.4681;14
30/06/2020;264.6629;14
31/07/2020;278.6601;14
31/08/2020;295.7156;14
30/09/2020;286.1807;14
31/10/2020;279.2241;14
30/11/2020;313.6421;14
31/12/2020;328.2043;14
31/01/2021;326.7116;14
28/02/2021;334.2794;14
31/03/2021;343.2078;14
30/04/2021;358.2137;14
31/05/2021;363.7883;14
30/06/2021;368.5821;14
31/07/2021;371.1219;14
31/08/2021;380.4109;14
