date;value;id
31/12/1999;1000;13
31/01/2000;1023.397;13
29/02/2000;1015.451;13
31/03/2000;996.409;13
30/04/2000;981.978;13
31/05/2000;983.256;13
30/06/2000;965.096;13
31/07/2000;949.926;13
31/08/2000;957.787;13
30/09/2000;926.786;13
31/10/2000;942.906;13
30/11/2000;1006.535;13
31/12/2000;1095.622;13
31/01/2001;1103.784;13
28/02/2001;1105.21;13
31/03/2001;1164.221;13
30/04/2001;1114.49;13
31/05/2001;1126.256;13
30/06/2001;1112.86;13
31/07/2001;1104.737;13
31/08/2001;1125.017;13
30/09/2001;1142.975;13
31/10/2001;1185.327;13
30/11/2001;1094.754;13
31/12/2001;1122.849;13
31/01/2002;1117.131;13
28/02/2002;1093.418;13
31/03/2002;1094.466;13
30/04/2002;1077.665;13
31/05/2002;1117.652;13
30/06/2002;1198.355;13
31/07/2002;1230.877;13
31/08/2002;1256.972;13
30/09/2002;1283.508;13
31/10/2002;1240.605;13
30/11/2002;1211.857;13
31/12/2002;1267.756;13
31/01/2003;1330.112;13
28/02/2003;1392.443;13
31/03/2003;1315.343;13
30/04/2003;1336.636;13
31/05/2003;1408.875;13
30/06/2003;1388.822;13
31/07/2003;1370.914;13
31/08/2003;1400.067;13
30/09/2003;1392.448;13
31/10/2003;1423.634;13
30/11/2003;1420.758;13
31/12/2003;1467.461;13
31/01/2004;1481.832;13
29/02/2004;1541.893;13
31/03/2004;1527.737;13
30/04/2004;1468.127;13
31/05/2004;1446.134;13
30/06/2004;1410.418;13
31/07/2004;1401.024;13
31/08/2004;1383.038;13
30/09/2004;1388.019;13
31/10/2004;1428.166;13
30/11/2004;1482.706;13
31/12/2004;1488.958;13
31/01/2005;1449.757;13
28/02/2005;1464.693;13
31/03/2005;1469.34;13
30/04/2005;1439.859;13
31/05/2005;1460.831;13
30/06/2005;1488.904;13
31/07/2005;1486.835;13
31/08/2005;1487.308;13
30/09/2005;1511.458;13
31/10/2005;1513.854;13
30/11/2005;1554.573;13
31/12/2005;1536.575;13
31/01/2006;1550.46;13
