date;value;id
31/01/2019;160.8854;15
28/02/2019;161.192;15
31/03/2019;161.5306;15
30/04/2019;161.8591;15
31/05/2019;162.202;15
30/06/2019;162.525;15
31/07/2019;162.8441;15
31/08/2019;163.1428;15
30/09/2019;163.4201;15
31/10/2019;163.7044;15
30/11/2019;163.9336;15
31/12/2019;164.1453;15
31/01/2020;164.3842;15
29/02/2020;164.5894;15
31/03/2020;164.7865;15
30/04/2020;164.8908;15
31/05/2020;164.9022;15
30/06/2020;164.9063;15
31/07/2020;164.9276;15
31/08/2020;164.9347;15
30/09/2020;164.9416;15
31/10/2020;164.9501;15
30/11/2020;164.9583;15
31/12/2020;164.9669;15
31/01/2021;164.9768;15
28/02/2021;164.9858;15
31/03/2021;164.9957;15
30/04/2021;165.0054;15
31/05/2021;165.0125;15
30/06/2021;165.0166;15
31/07/2021;165.0237;15
31/08/2021;165.0308;15
