date;RU20INTR;id
30/09/1996;1284.07;8
31/10/1996;1264.28;8
30/11/1996;1316.37;8
31/12/1996;1350.87;8
31/01/1997;1377.87;8
28/02/1997;1344.46;8
31/03/1997;1281.02;8
30/04/1997;1284.59;8
31/05/1997;1427.5;8
30/06/1997;1488.68;8
31/07/1997;1557.95;8
31/08/1997;1593.6;8
30/09/1997;1710.24;8
31/10/1997;1635.11;8
30/11/1997;1624.53;8
31/12/1997;1652.97;8
31/01/1998;1626.88;8
28/02/1998;1747.18;8
31/03/1998;1819.24;8
30/04/1998;1829.3;8
31/05/1998;1730.78;8
30/06/1998;1734.42;8
31/07/1998;1594.01;8
31/08/1998;1284.49;8
30/09/1998;1385.01;8
31/10/1998;1441.5;8
30/11/1998;1517.02;8
31/12/1998;1610.9;8
31/01/1999;1632.3;8
28/02/1999;1500.09;8
31/03/1999;1523.51;8
30/04/1999;1660.03;8
31/05/1999;1684.28;8
30/06/1999;1760.44;8
31/07/1999;1712.14;8
31/08/1999;1648.77;8
30/09/1999;1649.13;8
31/10/1999;1655.81;8
30/11/1999;1754.68;8
31/12/1999;1953.31;8
31/01/2000;1921.94;8
29/02/2000;2239.32;8
31/03/2000;2091.68;8
30/04/2000;1965.82;8
31/05/2000;1851.24;8
30/06/2000;2012.62;8
31/07/2000;1947.87;8
31/08/2000;2096.49;8
30/09/2000;2034.87;8
31/10/2000;1944.04;8
30/11/2000;1744.48;8
31/12/2000;1894.3;8
31/01/2001;1992.92;8
28/02/2001;1862.16;8
31/03/2001;1771.07;8
30/04/2001;1909.62;8
31/05/2001;1956.56;8
30/06/2001;2024.12;8
31/07/2001;1914.55;8
31/08/2001;1852.72;8
30/09/2001;1603.32;8
31/10/2001;1697.14;8
30/11/2001;1828.53;8
31/12/2001;1941.39;8
31/01/2002;1921.2;8
28/02/2002;1868.55;8
31/03/2002;2018.73;8
30/04/2002;2037.12;8
31/05/2002;1946.71;8
30/06/2002;1850.12;8
31/07/2002;1570.7;8
31/08/2002;1566.7;8
30/09/2002;1454.19;8
31/10/2002;1500.81;8
30/11/2002;1634.75;8
31/12/2002;1543.73;8
31/01/2003;1501;8
28/02/2003;1455.65;8
31/03/2003;1474.39;8
30/04/2003;1614.19;8
31/05/2003;1787.41;8
30/06/2003;1819.76;8
31/07/2003;1933.62;8
31/08/2003;2022.28;8
30/09/2003;1984.95;8
31/10/2003;2151.64;8
30/11/2003;2227.99;8
31/12/2003;2273.2;8
31/01/2004;2371.96;8
29/02/2004;2393.22;8
31/03/2004;2415.52;8
30/04/2004;2292.37;8
31/05/2004;2328.86;8
30/06/2004;2426.93;8
31/07/2004;2263.52;8
31/08/2004;2251.89;8
30/09/2004;2357.6;8
31/10/2004;2404.01;8
30/11/2004;2612.53;8
31/12/2004;2689.86;8
31/01/2005;2577.63;8
28/02/2005;2621.29;8
31/03/2005;2546.25;8
30/04/2005;2400.43;8
31/05/2005;2557.54;8
30/06/2005;2656.19;8
31/07/2005;2824.47;8
31/08/2005;2772.1;8
30/09/2005;2780.8;8
31/10/2005;2694.46;8
30/11/2005;2825.26;8
31/12/2005;2812.35;8
31/01/2006;3064.54;8
28/02/2006;3056.1;8
31/03/2006;3204.37;8
30/04/2006;3203.85;8
31/05/2006;3023.92;8
30/06/2006;3043.37;8
31/07/2006;2944.34;8
31/08/2006;3031.51;8
30/09/2006;3056.75;8
31/10/2006;3232.75;8
30/11/2006;3317.79;8
31/12/2006;3328.9;8
31/01/2007;3384.61;8
28/02/2007;3357.75;8
31/03/2007;3393.7;8
30/04/2007;3454.65;8
31/05/2007;3596.14;8
30/06/2007;3543.53;8
31/07/2007;3301.18;8
31/08/2007;3376;8
30/09/2007;3433.95;8
31/10/2007;3532.47;8
30/11/2007;3278.82;8
31/12/2007;3276.77;8
31/01/2008;3053.31;8
29/02/2008;2940.14;8
31/03/2008;2952.45;8
30/04/2008;3076.07;8
31/05/2008;3217.38;8
30/06/2008;2969.68;8
31/07/2008;3079.58;8
31/08/2008;3190.89;8
30/09/2008;2936.63;8
31/10/2008;2325.73;8
30/11/2008;2050.63;8
31/12/2008;2169.65;8
31/01/2009;1928.33;8
28/02/2009;1694;8
31/03/2009;1845.21;8
30/04/2009;2130.45;8
31/05/2009;2194.68;8
30/06/2009;2226.92;8
31/07/2009;2441.39;8
31/08/2009;2511.4;8
30/09/2009;2656.25;8
31/10/2009;2475.9;8
30/11/2009;2553.62;8
31/12/2009;2759.18;8
31/01/2010;2657.61;8
28/02/2010;2777.32;8
31/03/2010;3003.36;8
30/04/2010;3173.34;8
31/05/2010;2932.63;8
30/06/2010;2705.37;8
31/07/2010;2891.28;8
31/08/2010;2677.21;8
30/09/2010;3010.78;8
31/10/2010;3133.99;8
30/11/2010;3242.66;8
31/12/2010;3500.15;8
31/01/2011;3491.13;8
28/02/2011;3682.59;8
31/03/2011;3778.03;8
30/04/2011;3877.79;8
31/05/2011;3805.09;8
30/06/2011;3717.36;8
31/07/2011;3582.99;8
31/08/2011;3271.26;8
30/09/2011;2904.55;8
31/10/2011;3344.17;8
30/11/2011;3331.98;8
31/12/2011;3353.99;8
31/01/2012;3590.96;8
29/02/2012;3676.9;8
31/03/2012;3771.11;8
30/04/2012;3712.86;8
31/05/2012;3467.1;8
30/06/2012;3640.11;8
31/07/2012;3589.81;8
31/08/2012;3709.52;8
30/09/2012;3831.33;8
31/10/2012;3748.21;8
30/11/2012;3768.13;8
31/12/2012;3902.37;8
31/01/2013;4146.63;8
28/02/2013;4192.37;8
31/03/2013;4385.95;8
30/04/2013;4369.83;8
31/05/2013;4544.48;8
30/06/2013;4521.23;8
31/07/2013;4837.65;8
31/08/2013;4683.99;8
30/09/2013;4982.85;8
31/10/2013;5108.15;8
30/11/2013;5312.8;8
31/12/2013;5417.36;8
31/01/2014;5267.4;8
28/02/2014;5515.56;8
31/03/2014;5477.96;8
30/04/2014;5265.52;8
31/05/2014;5307.72;8
30/06/2014;5590.12;8
31/07/2014;5251.76;8
31/08/2014;5512.17;8
30/09/2014;5178.71;8
31/10/2014;5520.09;8
30/11/2014;5525.04;8
31/12/2014;5682.5;8
31/01/2015;5499.72;8
28/02/2015;5826.22;8
31/03/2015;5927.72;8
30/04/2015;5776.54;8
31/05/2015;5908.42;8
30/06/2015;5952.67;8
31/07/2015;5883.49;8
31/08/2015;5513.76;8
30/09/2015;5243.24;8
31/10/2015;5538.65;8
30/11/2015;5718.81;8
31/12/2015;5431.67;8
31/01/2016;4954.04;8
29/02/2016;4953.82;8
31/03/2016;5349.19;8
30/04/2016;5433.15;8
31/05/2016;5555.53;8
30/06/2016;5552.02;8
31/07/2016;5883.52;8
31/08/2016;5987.56;8
30/09/2016;6054.25;8
31/10/2016;5766.43;8
30/11/2016;6409.46;8
31/12/2016;6589.05;8
31/01/2017;6615.04;8
28/02/2017;6742.7;8
31/03/2017;6751.53;8
30/04/2017;6825.57;8
31/05/2017;6686.71;8
30/06/2017;6917.86;8
31/07/2017;6969.25;8
31/08/2017;6880.59;8
30/09/2017;7310;8
31/10/2017;7372.31;8
30/11/2017;7584.78;8
31/12/2017;7554.17;8
31/01/2018;7751.59;8
28/02/2018;7451.43;8
31/03/2018;7547.81;8
30/04/2018;7613.06;8
31/05/2018;8075.18;8
30/06/2018;8133.04;8
31/07/2018;8274.79;8
31/08/2018;8631.52;8
30/09/2018;8423.91;8
31/10/2018;7508.93;8
30/11/2018;7628.29;8
31/12/2018;6722.15;8
31/01/2019;7478.39;8
28/02/2019;7867.17;8
31/03/2019;7702.52;8
30/04/2019;7964.18;8
31/05/2019;7344.78;8
30/06/2019;7863.89;8
31/07/2019;7909.16;8
31/08/2019;7518.66;8
30/09/2019;7675.09;8
31/10/2019;7877.23;8
30/11/2019;8201.49;8
31/12/2019;8437.98;8
31/01/2020;8167.36;8
29/02/2020;7479.81;8
31/03/2020;5854.71;8
30/04/2020;6658.88;8
31/05/2020;7092.21;8
30/06/2020;7342.9;8
31/07/2020;7546.14;8
31/08/2020;7971.31;8
30/09/2020;7705.04;8
31/10/2020;7866.42;8
30/11/2020;9316.39;8
31/12/2020;10122.27;8
31/01/2021;10631.64;8
28/02/2021;11294.26;8
31/03/2021;11407.7;8
30/04/2021;11647.24;8
31/05/2021;11671.26;8
30/06/2021;11897.38;8
31/07/2021;11467.78;8
31/08/2021;11724.3;8
