date;LBUTTRUU ;id
31/03/1997;98.626;5
30/04/1997;99.2313;5
31/05/1997;99.769;5
30/06/1997;99.4535;5
31/07/1997;100.3997;5
31/08/1997;100.7048;5
30/09/1997;100.9036;5
31/10/1997;101.9389;5
30/11/1997;102.5132;5
31/12/1997;102.0827;5
31/01/1998;102.5829;5
28/02/1998;102.4905;5
31/03/1998;102.4393;5
30/04/1998;102.8216;5
31/05/1998;103.5564;5
30/06/1998;103.8066;5
31/07/1998;104.288;5
31/08/1998;104.5248;5
30/09/1998;106.6308;5
31/10/1998;106.8619;5
30/11/1998;106.7516;5
31/12/1998;106.1116;5
31/01/1999;107.3472;5
28/02/1999;106.5972;5
31/03/1999;106.5817;5
30/04/1999;107.2873;5
31/05/1999;108.0261;5
30/06/1999;108.0955;5
31/07/1999;108.0389;5
31/08/1999;108.2346;5
30/09/1999;108.6564;5
31/10/1999;108.8689;5
30/11/1999;109.5337;5
31/12/1999;108.6541;5
31/01/2000;109.1375;5
29/02/2000;110.1241;5
31/03/2000;113.3421;5
30/04/2000;114.8536;5
31/05/2000;114.5559;5
30/06/2000;115.9997;5
31/07/2000;116.9986;5
31/08/2000;117.8686;5
30/09/2000;118.4804;5
31/10/2000;119.9097;5
30/11/2000;121.6508;5
31/12/2000;122.9687;5
31/01/2001;125.535;5
28/02/2001;127.653;5
31/03/2001;128.8739;5
30/04/2001;129.6006;5
31/05/2001;131.1351;5
30/06/2001;130.9733;5
31/07/2001;133.157;5
31/08/2001;133.343;5
30/09/2001;134.1194;5
31/10/2001;137.2978;5
30/11/2001;134.2408;5
31/12/2001;132.6759;5
31/01/2002;133.4611;5
28/02/2002;135.4837;5
31/03/2002;134.6473;5
30/04/2002;138.32;5
31/05/2002;140.5199;5
30/06/2002;142.5091;5
31/07/2002;144.8656;5
31/08/2002;150.0531;5
30/09/2002;153.8391;5
31/10/2002;149.7326;5
30/11/2002;149.6266;5
31/12/2002;154.6554;5
31/01/2003;155.8209;5
28/02/2003;161.6574;5
31/03/2003;159.0377;5
30/04/2003;158.6288;5
31/05/2003;166.1543;5
30/06/2003;164.4565;5
31/07/2003;156.8652;5
31/08/2003;159.6779;5
30/09/2003;164.9632;5
31/10/2003;165.8584;5
30/11/2003;165.9575;5
31/12/2003;167.6491;5
31/01/2004;169.5734;5
29/02/2004;173.4869;5
31/03/2004;176.2659;5
30/04/2004;167.7137;5
31/05/2004;170.7349;5
30/06/2004;170.8082;5
31/07/2004;172.404;5
31/08/2004;177.0161;5
30/09/2004;177.3656;5
31/10/2004;179.1398;5
30/11/2004;178.7116;5
31/12/2004;181.8297;5
31/01/2005;181.8436;5
28/02/2005;181.0669;5
31/03/2005;181.2287;5
30/04/2005;184.6895;5
31/05/2005;185.9595;5
30/06/2005;186.7508;5
31/07/2005;182.8303;5
31/08/2005;187.0494;5
30/09/2005;186.7875;5
31/10/2005;184.4007;5
30/11/2005;184.7205;5
31/12/2005;186.9924;5
31/01/2006;186.9748;5
28/02/2006;186.8851;5
31/03/2006;182.7851;5
30/04/2006;182.6306;5
31/05/2006;183.1686;5
30/06/2006;183.687;5
31/07/2006;186.6752;5
31/08/2006;189.9127;5
30/09/2006;190.2246;5
31/10/2006;189.8998;5
30/11/2006;192.2479;5
31/12/2006;187.7637;5
31/01/2007;188.0093;5
28/02/2007;192.0224;5
31/03/2007;192.4752;5
30/04/2007;193.8423;5
31/05/2007;191.3097;5
30/06/2007;191.0177;5
31/07/2007;195.365;5
31/08/2007;197.0569;5
30/09/2007;199.6866;5
31/10/2007;201.9273;5
30/11/2007;209.939;5
31/12/2007;209.6087;5
31/01/2008;217.9103;5
29/02/2008;220.5891;5
31/03/2008;220.4588;5
30/04/2008;215.8111;5
31/05/2008;216.5161;5
30/06/2008;219.8379;5
31/07/2008;218.7195;5
31/08/2008;220.5061;5
30/09/2008;212.0638;5
31/10/2008;193.6325;5
30/11/2008;195.0007;5
31/12/2008;204.6791;5
31/01/2009;208.1302;5
28/02/2009;204.0432;5
31/03/2009;215.9691;5
30/04/2009;211.9384;5
31/05/2009;216.3985;5
30/06/2009;217.3874;5
31/07/2009;217.5478;5
31/08/2009;219.4574;5
30/09/2009;224.0817;5
31/10/2009;226.8312;5
30/11/2009;233.1394;5
31/12/2009;228.0309;5
31/01/2010;231.7004;5
28/02/2010;229.0196;5
31/03/2010;229.3187;5
30/04/2010;234.7517;5
31/05/2010;234.7366;5
30/06/2010;238.0848;5
31/07/2010;238.43;5
31/08/2010;242.5374;5
30/09/2010;243.9976;5
31/10/2010;250.4673;5
30/11/2010;246.2256;5
31/12/2010;242.419;5
31/01/2011;242.8944;5
28/02/2011;244.9765;5
31/03/2011;247.4629;5
30/04/2011;253.6837;5
31/05/2011;254.4574;5
30/06/2011;256.5091;5
31/07/2011;266.5504;5
31/08/2011;268.7235;5
30/09/2011;268.0884;5
31/10/2011;273.0841;5
30/11/2011;275.1914;5
31/12/2011;275.2919;5
31/01/2012;281.605;5
29/02/2012;280.6798;5
31/03/2012;277.6644;5
30/04/2012;283.2844;5
31/05/2012;288.0223;5
30/06/2012;286.4181;5
31/07/2012;291.8463;5
31/08/2012;291.0079;5
30/09/2012;292.4918;5
31/10/2012;295.0244;5
30/11/2012;296.4305;5
31/12/2012;294.5049;5
31/01/2013;292.5169;5
28/02/2013;292.6119;5
31/03/2013;293.4382;5
30/04/2013;295.7719;5
31/05/2013;282.8775;5
30/06/2013;272.7382;5
31/07/2013;274.7281;5
31/08/2013;270.7341;5
30/09/2013;274.6518;5
31/10/2013;276.1648;5
30/11/2013;273.1661;5
31/12/2013;269.157;5
31/01/2014;274.4756;5
28/02/2014;275.7049;5
31/03/2014;274.3959;5
30/04/2014;278.1037;5
31/05/2014;283.9953;5
30/06/2014;284.8451;5
31/07/2014;284.9274;5
31/08/2014;286.1738;5
30/09/2014;279.0252;5
31/10/2014;281.4047;5
30/11/2014;282.1422;5
31/12/2014;278.9525;5
31/01/2015;287.7336;5
28/02/2015;284.2669;5
31/03/2015;282.9236;5
30/04/2015;285.0055;5
31/05/2015;282.6659;5
30/06/2015;279.9142;5
31/07/2015;280.4899;5
31/08/2015;278.3515;5
30/09/2015;276.7073;5
31/10/2015;277.4069;5
30/11/2015;277.1367;5
31/12/2015;274.9417;5
31/01/2016;279.0242;5
29/02/2016;282.1279;5
31/03/2016;287.1973;5
30/04/2016;288.1918;5
31/05/2016;286.1535;5
30/06/2016;292.1017;5
31/07/2016;294.6339;5
31/08/2016;293.3123;5
30/09/2016;294.9179;5
31/10/2016;293.7379;5
30/11/2016;288.101;5
31/12/2016;287.8181;5
31/01/2017;290.2378;5
28/02/2017;291.6048;5
31/03/2017;291.4488;5
30/04/2017;293.1729;5
31/05/2017;293.0471;5
30/06/2017;290.2686;5
31/07/2017;291.5618;5
31/08/2017;294.664;5
30/09/2017;292.776;5
31/10/2017;293.4023;5
30/11/2017;293.783;5
31/12/2017;296.4726;5
31/01/2018;293.9305;5
28/02/2018;291.0739;5
31/03/2018;294.1315;5
30/04/2018;293.9627;5
31/05/2018;295.2159;5
30/06/2018;296.4002;5
31/07/2018;294.9741;5
31/08/2018;297.0987;5
30/09/2018;293.97;5
31/10/2018;289.7565;5
30/11/2018;291.1407;5
31/12/2018;292.7317;5
31/01/2019;296.6699;5
28/02/2019;296.6312;5
31/03/2019;302.0836;5
30/04/2019;303.0878;5
31/05/2019;308.0956;5
30/06/2019;310.7373;5
31/07/2019;311.8416;5
31/08/2019;319.263;5
30/09/2019;314.9171;5
31/10/2019;315.7224;5
30/11/2019;316.2039;5
31/12/2019;317.4027;5
31/01/2020;324.0671;5
29/02/2020;328.5524;5
31/03/2020;322.7761;5
30/04/2020;331.7543;5
31/05/2020;332.7511;5
30/06/2020;336.4655;5
31/07/2020;344.1966;5
31/08/2020;347.9568;5
30/09/2020;346.6737;5
31/10/2020;344.4347;5
30/11/2020;348.2969;5
31/12/2020;352.2926;5
31/01/2021;353.4576;5
28/02/2021;347.7637;5
31/03/2021;347.1061;5
30/04/2021;351.9637;5
31/05/2021;356.2265;5
30/06/2021;358.3841;5
31/07/2021;367.9352;5
31/08/2021;367.2881;5
